train_id,route_id,source,destination,distance_km,date,departure_time,departure_hour,day_of_week,month,is_weekend,is_holiday,num_coaches,coach_class,platform_number,passenger_count,seat_capacity,occupancy_pct,delay_minutes,on_time
12004,MUM-DEL,Mumbai,Delhi,1384,2024-01-01,05:15,5,Monday,1,0,0,12,SL,2,1528,720,212.2,23,0
12009,MUM-DEL,Mumbai,Delhi,1384,2024-01-01,12:00,12,Monday,1,0,0,10,2AC,4,4361,600,726.8,21,0
12013,MUM-DEL,Mumbai,Delhi,1384,2024-01-01,13:00,13,Monday,1,0,0,18,2AC,7,3975,1080,368.1,12,0
12014,DEL-CHE,Delhi,Chennai,2180,2024-01-01,05:15,5,Monday,1,0,0,13,GEN,6,1217,780,156.0,8,0
12017,DEL-CHE,Delhi,Chennai,2180,2024-01-01,09:45,9,Monday,1,0,0,11,3AC,6,5627,660,852.6,24,0
12021,DEL-CHE,Delhi,Chennai,2180,2024-01-01,10:00,10,Monday,1,0,0,21,3AC,2,4258,1260,337.9,34,0
12023,DEL-CHE,Delhi,Chennai,2180,2024-01-01,18:00,18,Monday,1,0,0,18,3AC,6,6634,1080,614.3,23,0
12025,DEL-CHE,Delhi,Chennai,2180,2024-01-01,21:00,21,Monday,1,0,0,10,SL,5,3125,600,520.8,7,0
12028,BLR-HYD,Bengaluru,Hyderabad,570,2024-01-01,13:30,13,Monday,1,0,0,12,3AC,4,2425,720,336.8,26,0
12032,BLR-HYD,Bengaluru,Hyderabad,570,2024-01-01,17:00,17,Monday,1,0,0,19,SL,4,5112,1140,448.4,10,0
12035,BLR-HYD,Bengaluru,Hyderabad,570,2024-01-01,19:45,19,Monday,1,0,0,14,GEN,4,4448,840,529.5,26,0
12039,KOL-DEL,Kolkata,Delhi,1453,2024-01-01,06:45,6,Monday,1,0,0,14,2AC,6,1800,840,214.3,11,0
12041,KOL-DEL,Kolkata,Delhi,1453,2024-01-01,12:45,12,Monday,1,0,0,20,3AC,5,3639,1200,303.2,9,0
12043,KOL-DEL,Kolkata,Delhi,1453,2024-01-01,15:30,15,Monday,1,0,0,21,SL,7,3311,1260,262.8,16,0
12047,MUM-GOA,Mumbai,Goa,590,2024-01-01,07:00,7,Monday,1,0,0,11,2AC,3,1611,660,244.1,30,0
12050,MUM-GOA,Mumbai,Goa,590,2024-01-01,17:00,17,Monday,1,0,0,16,3AC,8,3676,960,382.9,21,0
12053,MUM-GOA,Mumbai,Goa,590,2024-01-01,20:00,20,Monday,1,0,0,20,SL,5,2527,1200,210.6,29,0
12056,MUM-GOA,Mumbai,Goa,590,2024-01-01,21:00,21,Monday,1,0,0,14,3AC,8,2142,840,255.0,5,0
12061,CHE-BLR,Chennai,Bengaluru,362,2024-01-01,08:15,8,Monday,1,0,0,12,3AC,3,5341,720,741.8,22,0
12064,CHE-BLR,Chennai,Bengaluru,362,2024-01-01,14:00,14,Monday,1,0,0,19,3AC,1,3033,1140,266.1,8,0
12068,CHE-BLR,Chennai,Bengaluru,362,2024-01-01,18:30,18,Monday,1,0,0,13,2AC,2,7642,780,979.7,7,0
